15
15
43
0 0  1.000125e+01f
0 1  5.635853e-01f
1 0  5.635853e-01f
1 1  1.019330e+01f
1 2  8.087405e-01f
2 1  8.087405e-01f
2 2  1.058501e+01f
2 3  4.798730e-01f
3 2  4.798730e-01f
3 3  1.035029e+01f
3 4  8.959624e-01f
4 3  8.959624e-01f
4 4  1.082284e+01f
4 5  7.466048e-01f
5 4  7.466048e-01f
5 5  1.017411e+01f
5 6  8.589435e-01f
6 5  8.589435e-01f
6 6  1.071050e+01f
6 7  5.135350e-01f
7 6  5.135350e-01f
7 7  1.030400e+01f
7 8  1.498459e-02f
8 7  1.498459e-02f
8 8  1.009140e+01f
8 9  3.644520e-01f
9 8  3.644520e-01f
9 9  1.014731e+01f
9 10  1.658986e-01f
10 9  1.658986e-01f
10 10  1.098853e+01f
10 11  4.456923e-01f
11 10  4.456923e-01f
11 11  1.011908e+01f
11 12  4.669332e-03f
12 11  4.669332e-03f
12 12  1.000891e+01f
12 13  3.778802e-01f
13 12  3.778802e-01f
13 13  1.053166e+01f
13 14  5.711844e-01f
14 13  5.711844e-01f
14 14  1.060176e+01f
